Utterance	Intents
que hago para que me revisen o hagan mantenimiento	q_Chitchat, q_Faq
que puedo hacer para no realicen financiaciones brilla en mi factura	q_Chitchat, q_Faq
cuál es el número de cupón	l_General, q_Chitchat
cuanto cobran por la reconexion	q_Chitchat, q_Faq
necesito el recibo de mi factura	l_General, q_Chitchat
deseo abonar al consumo	l_General, q_Chitchat
en la oficina se pueden hacer reclamo	q_Chitchat, q_Faq
deseo generar mi recibo	l_General, q_Chitchat
brilla me puede prestar para	l_General, q_Chitchat
quiero saber que recibos cancele durante x fechas	l_General, q_Chitchat
que debo hacer para obtener la garantia	q_Chitchat, q_Faq
me podria informar desde que punto se realizo la reconexion del servicio	q_Chitchat, q_Faq
por aquí me pueden dar informacion de cuando debo pagar mi factura	l_General, q_Chitchat
compra tu seguro brilla	l_General, q_Chitchat
se me daño algo que compre con brilla	q_Chitchat, q_Faq
quiero pagar una parte de mi factura	l_General, q_Chitchat
donde veo lo que me estan cobrando en el recibo	q_Chitchat, q_Faq
podria explicarme valores de mi recibo	q_Chitchat, q_Faq
informacion reconexion	l_General, q_Chitchat
cupon anticipado	l_General, q_Chitchat
no quiero pagar la poliza	q_Chitchat, q_Faq
solicita revision de la red	q_Chitchat, q_Faq
donde puedo usar el credito brilla	q_Chitchat, q_Faq
cual es mi saldo de brilla	l_General, q_Chitchat
quiero un credito de brilla	q_Chitchat, q_Faq
qué valor debo de mi factura	l_General, q_Chitchat
deseo pagar anticipado mi recibo	l_General, q_Chitchat
quiero adquirir mi seguro brilla	l_General, q_Chitchat
porque me cobran esto	q_Chitchat, q_Faq
aquí me pueden dar un duplicado de la factura	l_General, q_Chitchat
como hago para hacer efectiva la garantia de mi producto	q_Chitchat, q_Faq
mi factura ha aumentado	l_General, q_Chitchat
quiero un certificado de mi factura	l_General, q_Chitchat
en cuanto tiempo me dan respuesta a mi pqr	q_Chitchat, q_Faq
me están cobrando un consumo que no es	l_General, q_Chitchat
como hago para utilizar el cupo de brilla	l_General, q_Chitchat
quiero imprimir un cupon de pago anticipado	l_General, q_Chitchat
cuanto se demoran en revisar el calentador estufa horno	q_Chitchat, q_Faq
quiero bloquear mi cupo de brilla y seguros	q_Chitchat, q_Faq
para hacer un reclamo	q_Chitchat, q_Faq
comprar un seguro brilla	l_General, q_Chitchat
reclamo por servicios	q_Chitchat, q_Faq
aliados de brilla	q_Chitchat, q_Faq
con que dato imprimo mi factura	l_General, q_Chitchat
con que universidades tiene convenio de brilla	q_Chitchat, q_Faq
garantia de un producto comprado a traves de brilla	q_Chitchat, q_Faq
deseo colocar una queja	q_Chitchat, q_Faq
que costo tiene la reconexion	q_Chitchat, q_Faq
donde puedo conseguir informacion de mantenimiento, visitas, revisiones	q_Chitchat, q_Faq
generar constancia de pago	l_General, q_Chitchat
cual es el tiempo limite para reclamar por un producto	q_Chitchat, q_Faq
necesito un seguro	l_General, q_Chitchat
necesito conocer el valor actual de mi factura	l_General, q_Chitchat
que productos y o electrodomesticos puedo sacar con el cupo brilla	q_Chitchat, q_Faq
cual es el telefono para el servicio funerario	q_Chitchat, q_Faq
puedo adquirir materiales articulos para el hogar educacion moto soat tecno mecanica gasodomesticos	q_Chitchat, q_Faq
quiero validar si esta persona trabaja con ustedes	l_General, q_Chitchat
mi factura ha subido	l_General, q_Chitchat
adquirir seguro	l_General, q_Chitchat
como puedo saber si ya pagaron la factura del mes	l_General, q_Chitchat
como hago para financiar con brilla	l_General, q_Chitchat
necesito un punto adicional	q_Chitchat, q_Faq
comprar seguro de vida con brilla	l_General, q_Chitchat
por aquí puedo imprimir un certificado de mi factura	l_General, q_Chitchat
prepago recibo	l_General, q_Chitchat
adquirir seguro de vida brilla	l_General, q_Chitchat
valor gas natural	q_Chitchat, q_Faq
listado de tiendas brilla	q_Chitchat, q_Faq
como puedo obtener el cupo brilla	q_Chitchat, q_Faq
brilla responde por un producto	q_Chitchat, q_Faq
como hago para que me vayan a arreglar el contador	q_Chitchat, q_Faq
como hago para que me reconectene el servicio	l_General, q_Chitchat, q_Faq
proceso de reconexion	q_Chitchat, q_Faq
consulta y generacion de factura	l_General, q_Chitchat
el cupo no me alcanza, tengo varios contratos, puedo unirlos	q_Chitchat, q_Faq
deseo generar mi factura	l_General, q_Chitchat
vengo a colocar una queja me siento inconforme	q_Chitchat, q_Faq
quiero hacer una reparacion	q_Chitchat, q_Faq
como programo la revision periodica	q_Chitchat, q_Faq
adquiere tu seguro brilla	l_General, q_Chitchat
reconexion comercial	q_Chitchat, q_Faq
porque aumento la tarifa	q_Chitchat, q_Faq
donde puedo sacar productos con el cupo que aparece en mi factura	q_Chitchat, q_Faq
deseo adquirir un seguro	l_General, q_Chitchat
debo varias facturas y quiero hacer un abono	l_General, q_Chitchat
como puedo acceder al credito de brilla	l_General, q_Chitchat
quiero abonar a mi recibo	l_General, q_Chitchat
cada cuanto van los tecnicos para reparacion o mantenimiento	q_Chitchat, q_Faq
cuales son los almacenes donde puede financiar	q_Chitchat, q_Faq
necesito conocer la fecha de pago de mi factura	l_General, q_Chitchat
en cuantos dias me dan la respuesta demi pqr en la empresa	q_Chitchat, q_Faq
exencion de la contribución	l_General, q_Chitchat
necesito el número de cupón para pagar	l_General, q_Chitchat
datos funeraria	q_Chitchat, q_Faq
como hago para hacer valido un seguro	q_Chitchat, q_Faq
lo que pasa es que se me daño la nevera y necesito que me la arreglen por la garantia	q_Chitchat, q_Faq
que necesito para bloquear el cupo de brilla ya que tengo la casa arrendada.	q_Chitchat, q_Faq
cual es el valor de factura actual	l_General, q_Chitchat
los productos tienen garantia	q_Chitchat, q_Faq
como se si mi producto tiene garantia	q_Chitchat, q_Faq
como puedo cancelar una poliza	q_Chitchat, q_Faq
porque tengo este item en mi factura	q_Chitchat, q_Faq
solicito conexion del poste a la vivienda	q_Chitchat, q_Faq
servicio funerario	q_Chitchat, q_Faq
quiero poner un reclamo	q_Chitchat, q_Faq
